省份,车站,编码
安徽,安庆,AQH
安徽,安庆西,APH
安徽,蚌埠,BBH
安徽,蚌埠南,BMH
安徽,亳州,BZH
安徽,巢湖,CIH
安徽,巢湖东,GUH
安徽,长临河,FVH
安徽,池州,IYH
安徽,滁州,CXH
安徽,滁州北,CUH
安徽,砀山,DKH
安徽,砀山南,PRH
安徽,定远,EWH
安徽,东至,DCH
安徽,繁昌西,PUH
安徽,肥东,FIH
安徽,阜南,FNH
安徽,凤阳,FUH
安徽,阜阳,FYH
安徽,广德,GRH
安徽,合肥北城,COH
安徽,合肥南,ENH
安徽,固镇,GEH
安徽,淮北,HRH
安徽,淮北北,PLH
安徽,合肥,HFH
安徽,合肥西,HTH
安徽,黄口,KOH
安徽,淮南,HAH
安徽,淮南东,HOH
安徽,霍邱,FBH
安徽,黄山,HKH
安徽,黄山北,NYH
安徽,旌德,NSH
安徽,界首市,JUN
安徽,泾县,LOH
安徽,绩溪北,NRH
安徽,绩溪县,JRH
安徽,金寨,JZH
安徽,六安,UAH
安徽,灵璧,GMH
安徽,庐江,UJH
安徽,龙桥,LQU
安徽,龙山镇,LAS
安徽,马鞍山,MAH
安徽,马鞍山东,OMH
安徽,明光,MGH
安徽,宁国,NNH
安徽,南陵,LLH
安徽,全椒,INH
安徽,青龙山,QGH
安徽,祁门,QIH
安徽,宿州东,SRH
安徽,舒城,OCH
安徽,水家湖,SQH
安徽,宿松,OAH
安徽,三堂集,SDH
安徽,泗县,GPH
安徽,歙县,OVH
安徽,歙县北,NPH
安徽,三阳,SYU
安徽,宿州,OXH
安徽,桐城,TTH
安徽,太湖,TKH
安徽,铜陵,TJH
安徽,铜陵北,KXH
安徽,天柱山,QWH
安徽,芜湖,WHH
安徽,无为,IIH
安徽,无为南,WWU
安徽,涡阳,GYH
安徽,宣城,ECH
安徽,萧县北,QSH
安徽,弋江,RVH
安徽,颍上,YVH
北京,安定,ADP
北京,八达岭,ILP
北京,北京,BJP
北京,北京北,VAP
北京,北京东,BOP
北京,北京南,VNP
北京,北京西,BXP
北京,北宅,BVP
北京,昌平,CPP
北京,昌平北,VBP
北京,大灰厂,DHP
北京,大兴,DXX
北京,范各庄,FGP
北京,官高,GVP
北京,高各庄,GGP
北京,孤山口,GSP
北京,官厅西,KEP
北京,黄村,HCP
北京,怀柔,HRP
北京,怀柔北,HBP
北京,黑山寺,HVP
北京,黄土店,HKP
北京,康庄,KZP
北京,良各庄,LGP
北京,落坡岭,LPP
北京,庙城,MAP
北京,密云北,MUP
北京,南观村,NGP
北京,南口,NKP
北京,平峪,PYP
北京,清河,QIP
北京,清华园,QHP
北京,十渡,SEP
北京,沙河,SHP
北京,三合庄,SVP
北京,三家店,ODP
北京,石景山南,SRP
北京,上万,SWP
北京,顺义,SOP
北京,统军庄,TZP
北京,通州,TOP
北京,魏善庄,WSP
北京,斜河涧,EEP
北京,雁翅,YAP
北京,沿河城,YHP
北京,云居寺,AFP
北京,燕山,AOP
北京,珠窝,ZOP
北京,张辛,ZIP
重庆,北碚,BPW
重庆,璧山,FZW
重庆,重庆,CQW
重庆,重庆北,CUW
重庆,重庆南,CRW
重庆,重庆西,CXW
重庆,长寿,EFW
重庆,长寿北,COW
重庆,长寿湖,CSE
重庆,大足南,FQW
重庆,丰都,FUW
重庆,涪陵,FLW
重庆,涪陵北,FEW
重庆,复盛,FAW
重庆,赶水,GSW
重庆,赶水东,GDE
重庆,古镇,GNQ
重庆,合川,WKW
重庆,江津,JJW
重庆,珞璜南,LNE
重庆,梁平,UQW
重庆,梁平南,LPE
重庆,洛湾三江,KRW
重庆,彭水,PHW
重庆,葡萄菁,PTW
重庆,綦江,QJW
重庆,黔江,QNW
重庆,綦江东,QDE
重庆,荣昌,RCW
重庆,荣昌北,RQW
重庆,三江南,SWZ
重庆,双龙湖,OHB
重庆,沙坪坝,CYW
重庆,石柱县,OSW
重庆,潼南,TVW
重庆,太阳山,TYJ
重庆,武隆,WLW
重庆,万州,WYW
重庆,万州北,WZE
重庆,新立镇,XGT
重庆,秀山,ETW
重庆,永川,YCW
重庆,永川东,WMW
重庆,酉阳,AFW
福建,安溪,AXS
福建,福安,FAS
福建,福鼎,FES
福建,福清,FQS
福建,莆田,PTS
福建,福州,FZS
福建,福州南,FYS
福建,古田,GTS
福建,古田北,GBS
福建,古田会址,STS
福建,光泽,GZS
福建,冠豸山,GSS
福建,惠安,HNS
福建,涵江,HJS
福建,晋江,JJS
福建,将乐,JLS
福建,角美,JES
福建,建宁县北,JCS
福建,建瓯,JVS
福建,建瓯西,JUS
福建,建阳,JYS
福建,连江,LKS
福建,龙岩,LYS
福建,罗源,LVS
福建,来舟,LZS
福建,闽清,MQS
福建,闽清北,MBS
福建,麦园,MYS
福建,宁德,NES
福建,南靖,NJS
福建,南平,NPS
福建,南平北,NBS
福建,南平南,NNS
福建,泉州,QYS
福建,泉州东,QRS
福建,顺昌,SCS
福建,上杭,JBS
福建,三明,SVS
福建,三明北,SHS
福建,厦门北,XKS
福建,厦门高崎,XBS
福建,邵武,SWS
福建,沙县,SAS
福建,双洋,SQS
福建,三元区,SMS
福建,太姥山,TLS
福建,泰宁,TNS
福建,武夷山,WAS
福建,武夷山北,WBS
福建,武夷山东,WCS
福建,厦门,XMS
福建,霞浦,XOS
福建,仙游,XWS
福建,永安,YAS
福建,永安南,YQS
福建,永定,YGS
福建,延平西,YWS
福建,雁石南,YMS
福建,永泰,YTS
福建,尤溪,YXS
福建,云霄,YBS
福建,诏安,ZDS
福建,漳浦,ZCS
福建,漳平,ZPS
福建,漳平西,ZXG
福建,漳州,ZUS
福建,漳州东,GOS
甘肃,安口窑,AYY
甘肃,白银市,BNJ
甘肃,白银西,BXJ
甘肃,长城,CEJ
甘肃,陈官营,CAJ
甘肃,长征,CZJ
甘肃,打柴沟,DGJ
甘肃,敦煌,DHJ
甘肃,东湾,DRJ
甘肃,低窝铺,DWJ
甘肃,定西,DSJ
甘肃,定西北,DNJ
甘肃,石峡子,SXJ
甘肃,丰水村,FSJ
甘肃,甘草店,GDJ
甘肃,甘谷,GGJ
甘肃,皋兰,GEJ
甘肃,古浪,GLJ
甘肃,高台南,GAJ
甘肃,高台,GTJ
甘肃,瓜州,GZJ
甘肃,黑冲滩,HCJ
甘肃,哈达铺,HDJ
甘肃,贺家店,HJJ
甘肃,河口南,HKJ
甘肃,宏庆,HEY
甘肃,海石湾,HSO
甘肃,红砂岘,VSJ
甘肃,徽县,HYY
甘肃,红岘台,HTJ
甘肃,黄羊镇,HYJ
甘肃,泾川,JAJ
甘肃,金昌,JCJ
甘肃,芨岭,JLJ
甘肃,酒泉,JQJ
甘肃,酒泉南,JNJ
甘肃,景泰,JTJ
甘肃,镜铁山,JVJ
甘肃,靖远,JYJ
甘肃,嘉峪关,JGJ
甘肃,嘉峪关南,JBJ
甘肃,靖远西,JXJ
甘肃,两当,LDY
甘肃,龙沟,LGJ
甘肃,绿化,LWJ
甘肃,李家坪,LIJ
甘肃,洛门,LMJ
甘肃,陇南,INJ
甘肃,龙泉寺,UQJ
甘肃,骆驼巷,LTJ
甘肃,狼尾山,LRJ
甘肃,陇西,LXJ
甘肃,柳园,DHR
甘肃,柳园南,LNR
甘肃,临泽,LEJ
甘肃,兰州,LZJ
甘肃,兰州东,LVJ
甘肃,临泽南,LDJ
甘肃,兰州西,LAJ
甘肃,兰州新区,LQJ
甘肃,民乐,MBJ
甘肃,岷县,MXJ
甘肃,庙庄,MZJ
甘肃,南河川,NHJ
甘肃,磐安镇,PAJ
甘肃,坡底下,PXJ
甘肃,平凉,PIJ
甘肃,平凉南,POJ
甘肃,平原堡,PPJ
甘肃,秦安,QGJ
甘肃,清水,QUJ
甘肃,清水北,QEJ
甘肃,清水县,QIJ
甘肃,桥西,QXJ
甘肃,山丹,SDJ
甘肃,邵家堂,SJJ
甘肃,疏勒,SUR
甘肃,疏勒河,SHJ
甘肃,水源,OYJ
甘肃,三阳川,SYJ
甘肃,上腰墩,SPJ
甘肃,桑园子,SAJ
甘肃,通安驿,TAJ
甘肃,谭家井,TNJ
甘肃,土门子,TCJ
甘肃,天水,TSJ
甘肃,天水南,TIJ
甘肃,通渭,TWJ
甘肃,天祝,TZJ
甘肃,吴家川,WCJ
甘肃,王家湾,WJJ
甘肃,渭南镇,WNJ
甘肃,武山,WSJ
甘肃,武威,WUJ
甘肃,武威南,WWJ
甘肃,渭源,WEJ
甘肃,西固,XIJ
甘肃,西固城,XUJ
甘肃,夏官营,XGJ
甘肃,许家台,XTJ
甘肃,新李,XLJ
甘肃,兴泉堡,XQJ
甘肃,许三湾,XSJ
甘肃,新阳镇,XZJ
甘肃,永登,YDJ
甘肃,玉石,YSJ
甘肃,园墩,YAJ
甘肃,玉门,YXJ
甘肃,鸳鸯镇,YYJ
甘肃,榆中,IZJ
甘肃,中川机场,ZJJ
甘肃,张家川,ZIJ
甘肃,朱家窑,ZUJ
甘肃,漳县,ZXJ
甘肃,张掖,ZYJ
甘肃,张掖西,ZEJ
广东,广宁,FBQ
广东,广州南,IZQ
广东,北滘,IBQ
广东,坂田,BTQ
广东,常平,DAQ
广东,常平东,FQQ
广东,常平南,FPQ
广东,潮汕,CBQ
广东,春湾,CQQ
广东,潮阳,CNQ
广东,潮州,CKQ
广东,电白,NWQ
广东,东城南,IYQ
广东,东莞,RTQ
广东,东莞东,DMQ
广东,鼎湖东,UWQ
广东,鼎湖山,NVQ
广东,道滘,RRQ
广东,大朗镇,KOQ
广东,大埔,DPI
广东,东升,DRQ
广东,大旺,WWQ
广东,丹霞山,IRQ
广东,端州,WZQ
广东,恩平,PXQ
广东,怀集,FAQ
广东,丰顺,FUQ
广东,佛山,FSQ
广东,佛山西,FOQ
广东,福田,NZQ
广东,光明城,IMQ
广东,高州,GSQ
广东,广州,GZQ
广东,广州北,GBQ
广东,广州东,GGQ
广东,广州西,GXQ
广东,河唇,HCZ
广东,华城,VCQ
广东,惠东,KDQ
广东,惠环,KHQ
广东,鲘门,KMQ
广东,虎门,IUQ
广东,和平,VAQ
广东,河源,VIQ
广东,化州,HZZ
广东,惠州,HCQ
广东,惠州南,KNQ
广东,惠州西,VXQ
广东,江门东,JWQ
广东,前山,QXQ
广东,揭阳,JRQ
广东,葵潭,KTQ
广东,寮步,LTQ
广东,龙川,LUQ
广东,乐昌,LCQ
广东,乐昌东,ILQ
广东,龙丰,KFQ
广东,陆丰,LLQ
广东,廉江,LJZ
广东,沥林北,KBQ
广东,雷州,UAQ
广东,茂名,MDQ
广东,茂名西,MMZ
广东,马踏,PWQ
广东,梅州,MOQ
广东,明珠,MFQ
广东,南江口,NDQ
广东,南朗,NNQ
广东,南头,NOQ
广东,南雄,NCQ
广东,平湖,PHQ
广东,普宁,PEQ
广东,坪石,PSQ
广东,庆盛,QSQ
广东,清远,QBQ
广东,饶平,RVQ
广东,容桂,RUQ
广东,顺德,ORQ
广东,顺德学院,OJQ
广东,韶关,SNQ
广东,韶关东,SGQ
广东,四会,AHQ
广东,石龙,SLQ
广东,台山,PUQ
广东,狮山,KSQ
广东,三水,SJQ
广东,三水北,ARQ
广东,狮山北,NSQ
广东,松山湖北,KUQ
广东,三水南,RNQ
广东,双水镇,PQQ
广东,汕头,OTQ
广东,汕尾,OGQ
广东,始兴,IPQ
广东,遂溪,SXZ
广东,信宜,EEQ
广东,深圳,SZQ
广东,深圳北,IOQ
广东,深圳东,BJQ
广东,深圳坪山,IFQ
广东,深圳西,OSQ
广东,唐家湾,PDQ
广东,吴川,WAQ
广东,新会,EFQ
广东,西湖东,WDQ
广东,小金口,NKQ
广东,小榄,EAQ
广东,兴宁,ENQ
广东,徐闻,XJQ
广东,新兴县,XGQ
广东,阳春,YQQ
广东,阳东,WLQ
广东,英德,YDQ
广东,源潭,YTQ
广东,云东海,NAQ
广东,英德西,IIQ
广东,云浮东,IXQ
广东,阳江,WRQ
广东,郁南,YKQ
广东,银瓶,KPQ
广东,延庆,YNP
广东,云山,KZQ
广东,阳西,WMQ
广东,珠海,ZHQ
广东,珠海北,ZIQ
广东,湛江,ZJZ
广东,湛江西,ZWQ
广东,仲恺,KKQ
广东,樟木头,ZOQ
广东,樟木头东,ZRQ
广东,肇庆,ZVQ
广东,肇庆东,FCQ
广东,中山,ZSQ
广东,中山北,ZGQ
广西,博白,BBZ
广西,北海,BHZ
广西,北流,BOZ
广西,百浪,BRZ
广西,百色,BIZ
广西,宾阳,UKZ
广西,岑溪,CNZ
广西,崇左,CZZ
广西,德保,RBZ
广西,大拟,DNZ
广西,大王滩,DZZ
广西,大元,DYZ
广西,富川,FDZ
广西,防城港北,FBZ
广西,扶绥,FSZ
广西,恭城,GCZ
广西,贵港,GGZ
广西,桂林,GLZ
广西,桂林北,GBZ
广西,桂林西,GEZ
广西,桂平,GAZ
广西,合浦,HVZ
广西,贺州,HXZ
广西,金城江,JJZ
广西,靖西,JMZ
广西,金银潭,JTN
广西,开平南,PVQ
广西,康熙岭,KXZ
广西,隆安东,IDZ
广西,来宾,UBZ
广西,来宾北,UCZ
广西,陆川,LKZ
广西,罗城,VCZ
广西,柳江,UQZ
广西,濑湍,LVZ
广西,黎塘,LTZ
广西,柳州,LZZ
广西,鹿寨,LIZ
广西,鹿寨北,LSZ
广西,马皇,MHZ
广西,茅岭,MLZ
广西,宁村,NCZ
广西,南丹,NDZ
广西,那罗,ULZ
广西,宁明,NMZ
广西,南宁,NNZ
广西,南宁东,NFZ
广西,南宁西,NXZ
广西,那铺,NPZ
广西,平果,PGZ
广西,凭祥,PXZ
广西,渠旧,QJZ
广西,渠黎,QLZ
广西,钦州,QRZ
广西,钦州东,QDZ
广西,全州南,QNZ
广西,融安,RAZ
广西,融水,RSZ
广西,容县,RXZ
广西,三江县,SOZ
广西,田东,TDZ
广西,田东北,TBZ
广西,田林,TFZ
广西,亭亮,TIZ
广西,藤县,TAZ
广西,田阳,TRZ
广西,文地,WNZ
广西,五通,WTZ
广西,吴圩,WYZ
广西,梧州,WZZ
广西,梧州南,WBZ
广西,兴安,XAZ
广西,兴安北,XDZ
广西,小董,XEZ
广西,夏石,XIZ
广西,兴业,SNZ
广西,永福南,YBZ
广西,玉林,YLZ
广西,阳朔,YCZ
广西,银滩,CTQ
广西,宜州,YSZ
广西,钟山,ZSZ
广西,钟山西,ZAZ
贵州,安龙,AUZ
贵州,安顺,ASW
贵州,安顺西,ASE
贵州,柏果,BGM
贵州,碧江,BLQ
贵州,白鸡坡,BBM
贵州,百宜,FHW
贵州,草海,WBW
贵州,册亨,CHZ
贵州,岔江,CAM
贵州,从江,KNW
贵州,大方南,DNE
贵州,都格,DMM
贵州,都匀东,KJW
贵州,独山,RWW
贵州,大田边,DBM
贵州,都匀,RYW
贵州,桐梓北,TBE
贵州,桐梓东,TDE
贵州,发耳,FEM
贵州,福泉,VMW
贵州,贵定,GTW
贵州,贵定北,FMW
贵州,贵定南,IDW
贵州,贵定县,KIW
贵州,革居,GEM
贵州,关岭,GLE
贵州,贵阳,GIW
贵州,贵阳北,KQW
贵州,贵阳东,KEW
贵州,红果,HEM
贵州,花家庄,HJM
贵州,凯里,KLW
贵州,凯里南,QKW
贵州,开阳,KVW
贵州,龙洞堡,FVW
贵州,鲁番,LVM
贵州,龙里,LLW
贵州,龙里北,KFW
贵州,六盘水,UMW
贵州,娄山关南,LSE
贵州,六枝,LIW
贵州,麻尾,VAW
贵州,纳雍,NYE
贵州,普安,PAN
贵州,普安县,PUE
贵州,平坝南,PBE
贵州,普定,PGW
贵州,平关,PGM
贵州,盘关,PAM
贵州,平田,PTM
贵州,盘州,PAE
贵州,榕江,RVW
贵州,施秉,AQW
贵州,三都县,KKW
贵州,松河,SBM
贵州,三家寨,SMM
贵州,三穗,QHW
贵州,沙沱,SFM
贵州,松桃,MZQ
贵州,上西铺,SXM
贵州,铜仁,RDQ
贵州,铜仁南,TNW
贵州,桐梓,TZW
贵州,威箐,WAM
贵州,威舍,WSM
贵州,瓦窑田,WIM
贵州,息烽,XFW
贵州,新坪田,XPM
贵州,修文县,XWE
贵州,兴义,XRZ
贵州,小雨谷,XHM
贵州,雨格,VTM
贵州,营街,YAM
贵州,月亮田,YUM
贵州,玉屏,YZW
贵州,玉舍,AUM
贵州,织金,IZW
贵州,朱砂古镇,ZSE
贵州,遵义,ZYE
贵州,镇远,ZUW
贵州,遵义南,ZNE
贵州,遵义西,ZIW
河北,艾河,AHP
河北,板城,BUP
河北,保定,BDP
河北,保定东,BMP
河北,北戴河,BEP
河北,白沟,FEP
河北,白涧,BAP
河北,北马圈子,BRP
河北,白旗,BQP
河北,北屯,BYP
河北,泊头,BZP
河北,白洋淀,FWP
河北,霸州,RMP
河北,霸州西,FOP
河北,承德,CDP
河北,承德东,CCP
河北,承德南,IVP
河北,承德县北,IYP
河北,曹妃甸东,POP
河北,曹妃甸港,PGP
河北,柴沟堡,CGV
河北,昌黎,CLP
河北,超梁沟,CYP
河北,磁山,CSP
河北,磁西,CRP
河北,磁县,CIP
河北,朝阳地,CDD
河北,沧州,COP
河北,沧州西,CBP
河北,东戴河,RDD
河北,东光,DGP
河北,洞庙河,DEP
河北,大盘石,RPP
河北,东戌,RXP
河北,大营镇,DJP
河北,定州,DXP
河北,豆庄,ROP
河北,定州东,DOP
河北,大杖子,DAP
河北,二道沟门,RDP
河北,抚宁,FNP
河北,福山口,FKP
河北,浮图峪,FYP
河北,固安,GFP
河北,高碑店,GBP
河北,高碑店东,GMP
河北,古北口,GKP
河北,藁城,GEP
河北,藁城南,GUP
河北,郭磊庄,GLP
河北,官厅,GTP
河北,高邑,GIP
河北,高邑西,GNP
河北,邯郸,HDP
河北,邯郸东,HPP
河北,河间西,HXP
河北,韩麻营,HYP
河北,衡水,HSP
河北,衡水北,IHP
河北,虎什哈,HHP
河北,井店,JFP
河北,金沟屯,VGP
河北,纪家沟,VJD
河北,井南,JNP
河北,甲山,JOP
河北,井陉,JJP
河北,景州,JEP
河北,晋州,JXP
河北,旧庄窝,JVP
河北,康城,KCP
河北,临城,UUP
河北,六道河子,LVP
河北,梁底下,LDP
河北,廊坊,LJP
河北,落垡,LOP
河北,廊坊北,LFP
河北,龙华,LHP
河北,隆化,UHP
河北,滦河,UDP
河北,滦河沿,UNP
河北,卢龙,UAP
河北,滦平,UPP
河北,流水沟,USP
河北,临西,UEP
河北,滦县,UXP
河北,涞源,LYP
河北,孟庄,MZF
河北,南堡北,TLP
河北,南城司,NSP
河北,南大庙,NMP
河北,南宫东,NFP
河北,南湾子,NWP
河北,南峪,NUP
河北,偏店,PRP
河北,徘徊北,PHP
河北,潘家店,PDP
河北,平南南,PAZ
河北,平泉,PQP
河北,平泉北,PBP
河北,迁安,QQP
河北,奇峰塔,QVP
河北,清河城,QYP
河北,秦皇岛,QTP
河北,前磨头,QMP
河北,前苇塘,QWP
河北,青县,QXP
河北,任丘,RQP
河北,饶阳,RVP
河北,上板城,SBP
河北,上板城南,OBP
河北,沙城,SCP
河北,胜芳,SUP
河北,山海关,SHD
河北,沙河市,VOP
河北,三河县,OXP
河北,四合永,OHD
河北,石家庄,SJP
河北,石家庄北,VVP
河北,石家庄东,SXP
河北,什里店,OMP
河北,沙岭子,SLP
河北,肃宁,SYP
河北,涉县,OEP
河北,深州,OZP
河北,唐海南,IEP
河北,唐山,TSP
河北,唐山北,FUP
河北,塔崖驿,TYP
河北,文安,WBP
河北,武安,WAP
河北,王安镇,WVP
河北,望都,WDP
河北,五道河,WHP
河北,午汲,WJP
河北,吴桥,WUP
河北,王瞳,WTP
河北,新保安,XAP
河北,下板城,EBP
河北,西八里,XLP
河北,西大庙,XMP
河北,宣化,XHP
河北,下花园,XYP
河北,辛集,ENP
河北,辛集南,IJP
河北,新乐,ELP
河北,兴隆县,EXP
河北,徐水,XSP
河北,小寺沟,ESP
河北,邢台,XTP
河北,邢台东,EDP
河北,下台子,EIP
河北,小西庄,XXP
河北,悬钟,XRP
河北,新杖子,ERP
河北,燕郊,AJP
河北,元氏,YSP
河北,窑上,ASP
河北,榆树沟,YGP
河北,杨树岭,YAD
河北,野三坡,AIP
河北,鹰手营子,YIP
河北,玉田县,ATP
河北,阳邑,ARP
河北,张百湾,ZUP
河北,正定,ZDP
河北,正定机场,ZHP
河北,紫荆关,ZYP
河北,张家口,ZMP
河北,张家口南,IXP
河北,枣强,ZVP
河北,涿州,ZXP
河北,涿州东,ZAP
河南,安阳,AYF
河南,安阳东,ADF
河南,平顶山西,BFF
河南,长葛,CEF
河南,长垣,CYF
河南,邓州,DOF
河南,关林,GLF
河南,光山,GUN
河南,固始,GXN
河南,巩义南,GYF
河南,巩义,GXF
河南,鹤壁,HAF
河南,淮滨,HVN
河南,鹤壁东,HFF
河南,潢川,KCN
河南,黄河景区,HCF
河南,获嘉,HJF
河南,贾鲁河,JLF
河南,济源,JYF
河南,焦作,JOF
河南,焦作东,WEF
河南,开封,KFF
河南,开封北,KBF
河南,灵宝,LBF
河南,灵宝西,LPF
河南,绿博园,LCF
河南,漯河,LON
河南,漯河西,LBN
河南,兰考,LKF
河南,兰考南,LUF
河南,鲁山,LAF
河南,罗山,LRN
河南,洛阳,LYF
河南,临颍,LNF
河南,洛阳东,LDF
河南,洛阳龙门,LLF
河南,渑池,MCF
河南,渑池南,MNF
河南,明港,MGN
河南,明港东,MDN
河南,民权,MQF
河南,民权北,MIF
河南,南曹,NEF
河南,宁陵县,NLF
河南,内乡,NXF
河南,南阳,NFF
河南,南阳寨,NYF
河南,南召,NAF
河南,平顶山,PEN
河南,濮阳,PYF
河南,确山,QSN
河南,沁阳,QYF
河南,汝阳,RYF
河南,汝州,ROF
河南,商城,SWN
河南,宋城路,SFF
河南,三门峡,SMF
河南,三门峡南,SCF
河南,三门峡西,SXF
河南,遂平,SON
河南,沈丘,SQN
河南,商丘,SQF
河南,商丘南,SPF
河南,桐柏,TBF
河南,唐河,THF
河南,台前,TTK
河南,汤阴,TYF
河南,卫辉,WHF
河南,武陟,WIF
河南,新安县,XAF
河南,项城,ERN
河南,许昌,XCF
河南,许昌东,XVF
河南,西平,XPN
河南,西平西,EGQ
河南,修武,XWF
河南,修武西,EXF
河南,西峡,XIF
河南,息县,ENN
河南,新县,XSN
河南,新乡,XXF
河南,新乡东,EGF
河南,信阳,XUN
河南,信阳东,OYN
河南,夏邑县,EJH
河南,新郑机场,EZF
河南,永城北,RGH
河南,虞城县,IXH
河南,运粮河,YEF
河南,义马,YMF
河南,偃师,YSF
河南,月山,YBF
河南,周口,ZKN
河南,中牟,ZGF
河南,驻马店,ZDN
河南,驻马店西,ZLN
河南,镇平,ZPF
河南,郑州,ZZF
河南,郑州东,ZAF
河南,郑州西,XPF
黑龙江,昂昂溪,AAX
黑龙江,阿城,ACB
黑龙江,阿城北,ABB
黑龙江,安达,ADX
黑龙江,安家,AJB
黑龙江,阿木尔,JTX
黑龙江,北安,BAB
黑龙江,滨江,BJB
黑龙江,笔架山,BSB
黑龙江,白奎堡,BKB
黑龙江,宝林,BNB
黑龙江,勃利,BLB
黑龙江,八面通,BMB
黑龙江,宝清,BUB
黑龙江,宝泉岭,BQB
黑龙江,宾西北,BBB
黑龙江,背荫河,BYB
黑龙江,宾州,BZB
黑龙江,长汀南,CNS
黑龙江,成高子,CZB
